"","Position","Enrichment","Type"
"435",-630,0.02341,"Inr"
"436",-620,0.02366,"Inr"
"437",-610,0.02363,"Inr"
"438",-600,0.02328,"Inr"
"439",-590,0.02315,"Inr"
"440",-580,0.0234,"Inr"
"441",-570,0.02287,"Inr"
"442",-560,0.02365,"Inr"
"443",-550,0.02321,"Inr"
"444",-540,0.02332,"Inr"
"445",-530,0.02298,"Inr"
"446",-520,0.02284,"Inr"
"447",-510,0.02303,"Inr"
"448",-500,0.0226,"Inr"
"449",-490,0.02231,"Inr"
"450",-480,0.02254,"Inr"
"451",-470,0.022,"Inr"
"452",-460,0.02247,"Inr"
"453",-450,0.02257,"Inr"
"454",-440,0.02273,"Inr"
"455",-430,0.02219,"Inr"
"456",-420,0.02314,"Inr"
"457",-410,0.02316,"Inr"
"458",-400,0.02295,"Inr"
"459",-390,0.02242,"Inr"
"460",-380,0.0219,"Inr"
"461",-370,0.02186,"Inr"
"462",-360,0.0224,"Inr"
"463",-350,0.0214,"Inr"
"464",-340,0.02125,"Inr"
"465",-330,0.02098,"Inr"
"466",-320,0.02096,"Inr"
"467",-310,0.02048,"Inr"
"468",-300,0.02022,"Inr"
"469",-290,0.02072,"Inr"
"470",-280,0.02088,"Inr"
"471",-270,0.02129,"Inr"
"472",-260,0.02148,"Inr"
"473",-250,0.0217,"Inr"
"474",-240,0.02113,"Inr"
"475",-230,0.02178,"Inr"
"476",-220,0.02179,"Inr"
"477",-210,0.02126,"Inr"
"478",-200,0.0212,"Inr"
"479",-190,0.02086,"Inr"
"480",-180,0.0207,"Inr"
"481",-170,0.0193,"Inr"
"482",-160,0.01853,"Inr"
"483",-150,0.01854,"Inr"
"484",-140,0.01768,"Inr"
"485",-130,0.01712,"Inr"
"486",-120,0.01591,"Inr"
"487",-110,0.0174,"Inr"
"488",-100,0.01607,"Inr"
"489",-90,0.01512,"Inr"
"490",-80,0.0165,"Inr"
"491",-70,0.01674,"Inr"
"492",-60,0.01519,"Inr"
"493",-50,0.01617,"Inr"
"494",-40,0.01611,"Inr"
"495",-30,0.01598,"Inr"
"496",-20,0.01615,"Inr"
"497",-10,0.01622,"Inr"
"498",0,0.01614,"Inr"
"499",10,0.01656,"Inr"
"500",20,0.01682,"Inr"
"501",30,0.01708,"Inr"
"502",40,0.01706,"Inr"
"503",50,0.02197,"Inr"
"504",60,0.02023,"Inr"
"505",70,0.02094,"Inr"
"506",80,0.02514,"Inr"
"507",90,0.02443,"Inr"
"508",100,0.02577,"Inr"
"509",110,0.0257,"Inr"
"510",120,0.0253,"Inr"
"511",130,0.02408,"Inr"
"512",140,0.02319,"Inr"
"513",150,0.02128,"Inr"
"514",160,0.01974,"Inr"
"515",170,0.01896,"Inr"
"516",180,0.01784,"Inr"
"517",190,0.01752,"Inr"
"518",200,0.01748,"Inr"
"519",210,0.01744,"Inr"
"520",220,0.01742,"Inr"
"521",230,0.01793,"Inr"
